,x
910,Hydrolaetare schmidti
911,Hyla imitator
912,Hyla nicefori
913,Hylodes amnicola
914,Hylodes asper
915,Hylodes babax
916,Hylodes cardosoi
917,Hylodes charadranaetes
918,Hylodes dactylocinus
919,Hylodes fredi
920,Hylodes glaber
921,Hylodes heyeri
922,Hylodes lateristrigatus
923,Hylodes magalhaesi
924,Hylodes meridionalis
925,Hylodes mertensi
926,Hylodes nasus
927,Hylodes ornatus
928,Hylodes otavioi
929,Hylodes perplicatus
930,Hylodes phyllodes
931,Hylodes pipilans
932,Hylodes regius
933,Hylodes sazimai
934,Hylodes uai
935,Hylodes vanzolinii
936,Hylorina sylvatica
937,Hyloscirtus albopunctulatus
938,Hyloscirtus alytolylax
939,Hyloscirtus antioquia
940,Hyloscirtus armatus
941,Hyloscirtus bogotensis
942,Hyloscirtus callipeza
943,Hyloscirtus caucanus
944,Hyloscirtus charazani
945,Hyloscirtus chlorosteus
946,Hyloscirtus colymba
947,Hyloscirtus criptico
948,Hyloscirtus denticulentus
949,Hyloscirtus diabolus
950,Hyloscirtus jahni
951,Hyloscirtus japreria
952,Hyloscirtus larinopygion
953,Hyloscirtus lascinius
954,Hyloscirtus lindae
955,Hyloscirtus lynchi
956,Hyloscirtus pacha
957,Hyloscirtus palmeri
958,Hyloscirtus pantostictus
959,Hyloscirtus phyllognathus
960,Hyloscirtus piceigularis
961,Hyloscirtus platydactylus
962,Hyloscirtus psarolaimus
963,Hyloscirtus ptychodactylus
964,Hyloscirtus sarampiona
965,Hyloscirtus simmonsi
966,Hyloscirtus staufferorum
967,Hyloscirtus tapichalaca
968,Hyloscirtus tigrinus
969,Hyloscirtus torrenticola
970,Hyloxalus abditaurantius
971,Hyloxalus aeruginosus
972,Hyloxalus anthracinus
973,Hyloxalus awa
974,Hyloxalus azureiventris
975,Hyloxalus betancuri
976,Hyloxalus bocagei
977,Hyloxalus borjai
978,Hyloxalus breviquartus
979,Hyloxalus cevallosi
980,Hyloxalus chlorocraspedus
981,Hyloxalus chocoensis
982,Hyloxalus craspedoceps
983,Hyloxalus delatorreae
984,Hyloxalus edwardsi
